"catalogNumber","WingSide","ImageName","percent_asymmetry","Cell","Location","decimalLatitude","decimalLongitude","Site_name","Site_code","Land_cover","Notes.","Total.Complete.Agr","Total.Complete.Dev","Total.Complete.For","area","circularity","length","width","percent_overlap"
"UCSB-IZC00065438","L","UCSB-IZC00065438_L_1.svg",1.27222904380032,1,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","",10,12,6,0.00663448923261785,0.553118418925085,0.176141338073891,0.0575766411741637,95.7385749301172
"UCSB-IZC00065438","R","UCSB-IZC00065438_R_1.svg",1.27222904380032,1,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","",NA,NA,NA,0.00671943548700297,0.556915822047307,0.175314222473223,0.0578560603902931,95.7385749301172
"UCSB-IZC00065438","L","UCSB-IZC00065438_L_4.svg",5.1134720297845,4,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","wing cell slightly off background sheet",NA,NA,NA,0.00787198444491647,0.651449102283327,0.14782662797927,0.0806221369172355,90.9698006467358
"UCSB-IZC00065438","R","UCSB-IZC00065438_R_4.svg",5.1134720297845,4,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","",NA,NA,NA,0.0074794878245859,0.606941301431259,0.1519740030883,0.0762330119694879,90.9698006467358
"UCSB-IZC00055362","L","",NA,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","not taken",NA,NA,NA,NA,NA,NA,NA,NA
"UCSB-IZC00055362","R","UCSB-IZC00055362_R_1.svg",NA,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,NA,NA,NA,NA,76.3585247935504
"UCSB-IZC00055362","L","",NA,4,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","not taken",NA,NA,NA,NA,NA,NA,NA,NA
"UCSB-IZC00055362","R","UCSB-IZC00055362_R_4.svg",NA,4,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,NA,NA,NA,NA,74.1049472110986
"UCSB-IZC00058724","L","UCSB-IZC00058724_L_1.svg",7.9983466400554,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,0.00645840781294535,0.537534570324173,0.177922238662636,0.0519450912882677,90.4738035527995
"UCSB-IZC00058724","R","UCSB-IZC00058724_R_1.svg",7.9983466400554,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,0.00596170593751966,0.491806764421953,0.180032031159341,0.0471550604562044,90.4738035527995
